Code;end date;Group/Investment;ISIN;Perf Y1;Perf Y3;Perf Y5;Vol Y1;Vol Y3;Vol Y5
F000014359;12/07/2021;iMGP BM Alternativos I EUR;LU2041049300;7.96%;;;4.57%;6.27%;6.28%
XIUSA00108;12/07/2021;Bloomberg Euro Agg Bond TR EUR;;0.93%;2.73%;1.48%;3.15%;3.83%;3.61%
XIUSA000MH;12/07/2021;Bloomberg US Interm Credit TR USD;;2.01%;5.76%;3.63%;2.39%;3.80%;3.35%
EUCA000564;12/07/2021;EAA Fund EUR Cautious Allocation - Global;;6.78%;2.50%;1.86%;2.39%;3.57%;2.97%
EUCA000690;12/07/2021;EAA Fund EUR Corporate Bond;;3.57%;2.12%;1.62%;1.47%;2.81%;2.39%
EUCA000587;12/07/2021;EAA Fund EUR Diversified Bond;;1.53%;1.53%;0.74%;1.43%;2.20%;1.95%
EUCA000922;12/07/2021;EAA Fund EUR Subordinated Bond;;9.15%;4.37%;4.69%;2.26%;5.61%;4.56%
EUCA000511;12/07/2021;EAA Fund Europe Large-Cap Blend Equity;;26.76%;7.46%;8.04%;13.39%;17.36%;14.63%
EUCA000621;12/07/2021;EAA Fund GBP Allocation 0-20% Equity;;5.23%;3.77%;3.65%;2.72%;3.57%;3.13%
EUCA000640;12/07/2021;EAA Fund Italy Equity;;35.35%;6.77%;10.61%;16.75%;21.87%;19.51%
EUCA000915;12/07/2021;EAA Fund Japan Flex-Cap Equity;;26.56%;4.30%;10.62%;15.46%;19.41%;17.62%
EUCA000812;12/07/2021;EAA Fund Multistrategy EUR;;7.44%;1.24%;0.93%;3.04%;4.39%;3.83%
EUCA001010;12/07/2021;EAA Fund Multistrategy USD;;8.26%;5.03%;4.95%;4.09%;5.39%;4.73%
EUCA000528;12/07/2021;EAA Fund US Large-Cap Value Equity;;39.54%;10.17%;11.09%;14.39%;21.72%;17.83%
EUCA000853;12/07/2021;EAA Fund US Mid-Cap Equity;;48.56%;14.84%;15.23%;18.01%;25.08%;20.36%
EUCA000691;12/07/2021;EAA Fund USD Corporate Bond;;1.89%;6.51%;4.20%;4.27%;6.05%;5.00%
EUCA000746;12/07/2021;EAA Fund USD Flexible Allocation;;17.21%;6.12%;5.89%;6.64%;8.50%;7.11%
EUCA000583;12/07/2021;EAA Fund USD High Yield Bond;;12.80%;5.79%;5.53%;3.08%;7.07%;5.68%
FOUSA08SQ4;12/07/2021;FTSE Italia AllShare PR EUR;;27.68%;4.69%;8.67%;20.87%;27.58%;24.42%
FOUSA08IE9;12/07/2021;ICE BofA EUR Overnight OR TR EUR;;-0.55%;-0.45%;-0.42%;0.03%;0.02%;0.02%
FOUSA05UOK;12/07/2021;ICE BofA Euro Corporate TR EUR;;3.66%;2.62%;1.96%;1.98%;3.25%;2.89%
FOUSA08BV1;12/07/2021;ICE BofA Euro Subod Fin TR EUR;;6.13%;4.14%;4.34%;2.17%;4.61%;3.94%
F000016NOS;12/07/2021;ICE BofA SONIA Overnight Bid TR GBP;;0.05%;0.36%;0.29%;0.00%;0.03%;0.02%
XIUSA04CX8;12/07/2021;ICE BofA US 3M Trsy Bill TR USD;;0.09%;1.32%;1.17%;0.02%;0.14%;0.12%
XIUSA04EPI;12/07/2021;ICE BofA US High Yield TR USD;;14.45%;7.09%;6.83%;3.78%;8.32%;6.73%
FOUSA07WOV;12/07/2021;MSCI Europe NR EUR;;27.48%;8.20%;8.86%;17.12%;22.31%;18.90%
FOUSA09G33;12/07/2021;MSCI US Small Cap Growth NR USD;;49.73%;15.45%;18.55%;26.77%;33.17%;27.55%
XIUSA04FKR;12/07/2021;MSCI USA Value NR USD;;36.68%;10.38%;10.55%;17.52%;27.20%;22.41%
XIUSA04G92;12/07/2021;S&P 500 TR USD;;38.94%;18.17%;17.52%;18.02%;27.74%;22.92%
FOUSA06GBU;12/07/2021;TOPIX TR JPY;;28.10%;6.78%;11.22%;18.73%;22.06%;20.09%
F0GBR05TBZ;05/07/2021;iMGP European Corporate Bds C EUR;LU0167813129;5.12%;1.65%;1.64%;1.87%;4.32%;3.59%
F000002OH8;05/07/2021;iMGP Euro Fixed Income I EUR;LU0335770102;4.41%;4.00%;2.00%;2.25%;3.32%;3.08%
F00000JPT5;05/07/2021;iMGP Italian Opportunities I EUR;LU0536296873;33.44%;6.57%;11.36%;17.93%;24.74%;22.10%
F00000NCCS;05/07/2021;iMGP US High Yield I USD;LU0688633840;14.78%;5.73%;6.37%;4.09%;8.29%;6.73%
F00000OU30;05/07/2021;iMGP US Value R USD;LU0821216842;31.41%;10.00%;9.91%;15.19%;20.78%;17.12%
F00000Q0N6;05/07/2021;iMGP Sustainable Europe I EUR;LU0933606302;31.54%;9.54%;9.94%;17.08%;20.73%;18.07%
F00000Q0P3;05/07/2021;iMGP Japan Opportunities I JPY;LU0933609314;20.18%;3.03%;8.70%;18.97%;20.75%;18.80%
F00000Q0P4;05/07/2021;iMGP US Small&Mid Company Gr I USD;LU0933609405;55.19%;16.42%;17.45%;28.09%;30.27%;25.16%
F00000Q0NX;05/07/2021;iMGP Mlt-Asst Abs Ret EUR I EUR;LU0933611138;7.07%;3.83%;2.53%;3.02%;4.11%;3.45%
F00000QHZ0;05/07/2021;iMGP US Core Plus I M USD;LU0970691233;3.47%;5.10%;2.94%;2.28%;3.59%;3.28%
F00000UQH8;05/07/2021;iMGP Absolute Return GBP I M GBP;LU1130232017;6.26%;4.49%;3.32%;3.02%;3.26%;2.87%
F00000XJ7Z;05/07/2021;iMGP Eurp Subordinated Bds I EUR;LU1457568043;10.22%;5.53%;;3.45%;7.70%;6.46%
F00000ZSS8;05/07/2021;iMGP Stable Return I USD;LU1726319590;12.13%;1.96%;;8.61%;6.70%;6.39%
F000013DXH;05/07/2021;iMGP Global Diversified Inc I USD;LU1965317180;14.66%;;;7.76%;8.85%;8.86%
F000014359;05/07/2021;iMGP BM Alternativos I EUR;LU2041049300;8.65%;;;4.65%;6.31%;6.30%
XIUSA00108;05/07/2021;Bloomberg Euro Agg Bond TR EUR;;1.04%;2.77%;1.36%;3.19%;3.83%;3.61%
XIUSA000MH;05/07/2021;Bloomberg US Interm Credit TR USD;;2.25%;5.86%;3.55%;2.37%;3.79%;3.34%
EUCA000564;05/07/2021;EAA Fund EUR Cautious Allocation - Global;;6.77%;2.64%;1.97%;2.36%;3.57%;2.97%
EUCA000690;05/07/2021;EAA Fund EUR Corporate Bond;;3.57%;2.19%;1.63%;1.48%;2.81%;2.39%
EUCA000587;05/07/2021;EAA Fund EUR Diversified Bond;;1.67%;1.58%;0.71%;1.45%;2.20%;1.95%
EUCA000922;05/07/2021;EAA Fund EUR Subordinated Bond;;8.68%;4.60%;4.78%;2.28%;5.62%;4.57%
EUCA000511;05/07/2021;EAA Fund Europe Large-Cap Blend Equity;;26.32%;7.67%;8.63%;13.28%;17.33%;14.66%
EUCA000621;05/07/2021;EAA Fund GBP Allocation 0-20% Equity;;5.25%;3.89%;3.77%;2.72%;3.57%;3.14%
EUCA000640;05/07/2021;EAA Fund Italy Equity;;34.98%;6.87%;11.84%;16.64%;21.82%;19.61%
EUCA000915;05/07/2021;EAA Fund Japan Flex-Cap Equity;;24.29%;4.63%;11.32%;15.44%;19.38%;17.79%
EUCA000812;05/07/2021;EAA Fund Multistrategy EUR;;7.03%;1.39%;1.13%;3.04%;4.40%;3.84%
EUCA001010;05/07/2021;EAA Fund Multistrategy USD;;7.90%;5.22%;5.06%;4.08%;5.39%;4.73%
EUCA000528;05/07/2021;EAA Fund US Large-Cap Value Equity;;40.67%;10.52%;11.79%;14.43%;21.71%;17.82%
EUCA000853;05/07/2021;EAA Fund US Mid-Cap Equity;;50.46%;15.65%;16.13%;17.90%;25.04%;20.37%
EUCA000691;05/07/2021;EAA Fund USD Corporate Bond;;2.57%;6.71%;4.21%;4.22%;6.04%;4.99%
EUCA000746;05/07/2021;EAA Fund USD Flexible Allocation;;17.37%;6.29%;6.13%;6.58%;8.49%;7.11%
EUCA000583;05/07/2021;EAA Fund USD High Yield Bond;;12.80%;5.93%;5.88%;3.09%;7.07%;5.70%
FOUSA08SQ4;05/07/2021;FTSE Italia AllShare PR EUR;;27.40%;4.77%;10.01%;20.78%;27.52%;24.52%
FOUSA08IE9;05/07/2021;ICE BofA EUR Overnight OR TR EUR;;-0.55%;-0.45%;-0.41%;0.03%;0.02%;0.02%
FOUSA05UOK;05/07/2021;ICE BofA Euro Corporate TR EUR;;3.74%;2.67%;1.94%;2.00%;3.25%;2.89%
FOUSA08BV1;05/07/2021;ICE BofA Euro Subod Fin TR EUR;;5.99%;4.39%;4.35%;2.18%;4.62%;3.94%
F000016NOS;05/07/2021;ICE BofA SONIA Overnight Bid TR GBP;;0.05%;0.36%;0.30%;0.00%;0.03%;0.02%
XIUSA04CX8;05/07/2021;ICE BofA US 3M Trsy Bill TR USD;;0.09%;1.33%;1.17%;0.02%;0.14%;0.12%
XIUSA04EPI;05/07/2021;ICE BofA US High Yield TR USD;;14.52%;7.30%;7.24%;3.81%;8.32%;6.75%
FOUSA07WOV;05/07/2021;MSCI Europe NR EUR;;26.74%;8.35%;9.51%;17.05%;22.29%;18.93%
FOUSA09G33;05/07/2021;MSCI US Small Cap Growth NR USD;;55.17%;16.80%;20.10%;26.73%;33.10%;27.55%
XIUSA04FKR;05/07/2021;MSCI USA Value NR USD;;39.53%;10.62%;11.14%;17.67%;27.18%;22.40%
XIUSA04G92;05/07/2021;S&P 500 TR USD;;40.73%;18.62%;18.06%;18.10%;27.74%;22.93%
FOUSA06GBU;05/07/2021;TOPIX TR JPY;;25.91%;7.12%;11.68%;18.87%;22.03%;20.23%
F0GBR05TBZ;28/06/2021;iMGP European Corporate Bds C EUR;LU0167813129;5.43%;1.71%;1.80%;1.90%;4.33%;3.61%
F000002OH8;28/06/2021;iMGP Euro Fixed Income I EUR;LU0335770102;4.16%;3.88%;2.17%;2.27%;3.32%;3.09%
F00000JPT5;28/06/2021;iMGP Italian Opportunities I EUR;LU0536296873;36.24%;6.54%;11.35%;18.13%;24.76%;22.17%
F00000NCCS;28/06/2021;iMGP US High Yield I USD;LU0688633840;15.92%;5.64%;6.59%;4.16%;8.29%;6.75%
F00000OU30;28/06/2021;iMGP US Value R USD;LU0821216842;31.92%;9.97%;10.29%;15.33%;20.77%;17.18%
F00000Q0N6;28/06/2021;iMGP Sustainable Europe I EUR;LU0933606302;33.81%;9.02%;9.82%;17.26%;20.73%;18.24%
F00000Q0P3;28/06/2021;iMGP Japan Opportunities I JPY;LU0933609314;20.82%;2.53%;9.44%;19.07%;20.78%;18.81%
F00000Q0P4;28/06/2021;iMGP US Small&Mid Company Gr I USD;LU0933609405;54.29%;16.42%;18.13%;28.19%;30.28%;25.19%
F00000Q0NX;28/06/2021;iMGP Mlt-Asst Abs Ret EUR I EUR;LU0933611138;7.80%;3.87%;2.70%;3.14%;4.12%;3.45%
F00000QHZ0;28/06/2021;iMGP US Core Plus I M USD;LU0970691233;3.95%;5.07%;3.12%;2.30%;3.59%;3.29%
F00000UQH8;28/06/2021;iMGP Absolute Return GBP I M GBP;LU1130232017;6.79%;4.47%;3.54%;3.10%;3.27%;2.89%
F00000XJ7Z;28/06/2021;iMGP Eurp Subordinated Bds I EUR;LU1457568043;11.42%;5.75%;;3.53%;7.72%;6.48%
F00000ZSS8;28/06/2021;iMGP Stable Return I USD;LU1726319590;13.08%;1.87%;;8.68%;6.70%;6.41%
F000013DXH;28/06/2021;iMGP Global Diversified Inc I USD;LU1965317180;16.89%;;;8.00%;8.89%;8.90%
F000014359;28/06/2021;iMGP BM Alternativos I EUR;LU2041049300;8.11%;;;4.61%;6.33%;6.33%
XIUSA00108;28/06/2021;Bloomberg Euro Agg Bond TR EUR;;0.42%;2.57%;1.44%;3.22%;3.82%;3.61%
XIUSA000MH;28/06/2021;Bloomberg US Interm Credit TR USD;;2.25%;5.78%;3.63%;2.36%;3.79%;3.35%
EUCA000564;28/06/2021;EAA Fund EUR Cautious Allocation - Global;;7.13%;2.53%;2.09%;2.38%;3.56%;2.98%
EUCA000690;28/06/2021;EAA Fund EUR Corporate Bond;;3.50%;2.14%;1.78%;1.50%;2.81%;2.40%
EUCA000587;28/06/2021;EAA Fund EUR Diversified Bond;;1.49%;1.49%;0.80%;1.45%;2.19%;1.95%
EUCA000922;28/06/2021;EAA Fund EUR Subordinated Bond;;9.54%;4.71%;5.08%;2.33%;5.62%;4.59%
EUCA000511;28/06/2021;EAA Fund Europe Large-Cap Blend Equity;;27.69%;7.38%;8.99%;13.46%;17.32%;14.73%
EUCA000621;28/06/2021;EAA Fund GBP Allocation 0-20% Equity;;5.20%;3.72%;4.08%;2.73%;3.57%;3.18%
EUCA000640;28/06/2021;EAA Fund Italy Equity;;36.70%;6.89%;11.78%;16.82%;21.84%;19.66%
EUCA000915;28/06/2021;EAA Fund Japan Flex-Cap Equity;;26.06%;3.86%;11.74%;15.58%;19.46%;17.82%
EUCA000812;28/06/2021;EAA Fund Multistrategy EUR;;7.73%;1.34%;1.18%;3.05%;4.39%;3.85%
EUCA001010;28/06/2021;EAA Fund Multistrategy USD;;8.86%;5.22%;5.22%;4.09%;5.39%;4.74%
EUCA000528;28/06/2021;EAA Fund US Large-Cap Value Equity;;41.00%;10.87%;12.19%;14.50%;21.70%;17.87%
EUCA000853;28/06/2021;EAA Fund US Mid-Cap Equity;;51.24%;16.34%;16.86%;17.98%;25.05%;20.41%
EUCA000691;28/06/2021;EAA Fund USD Corporate Bond;;2.88%;6.58%;4.29%;4.24%;6.04%;4.99%
EUCA000746;28/06/2021;EAA Fund USD Flexible Allocation;;18.65%;6.30%;6.41%;6.65%;8.50%;7.13%
EUCA000583;28/06/2021;EAA Fund USD High Yield Bond;;13.80%;5.85%;6.12%;3.16%;7.07%;5.72%
FOUSA08SQ4;28/06/2021;FTSE Italia AllShare PR EUR;;30.24%;4.93%;10.03%;21.06%;27.55%;24.58%
FOUSA08IE9;28/06/2021;ICE BofA EUR Overnight OR TR EUR;;-0.55%;-0.45%;-0.41%;0.03%;0.02%;0.02%
FOUSA05UOK;28/06/2021;ICE BofA Euro Corporate TR EUR;;3.52%;2.59%;2.09%;2.04%;3.25%;2.89%
FOUSA08BV1;28/06/2021;ICE BofA Euro Subod Fin TR EUR;;6.33%;4.48%;4.59%;2.24%;4.63%;3.96%
F000016NOS;28/06/2021;ICE BofA SONIA Overnight Bid TR GBP;;0.05%;0.36%;0.30%;0.00%;0.03%;0.02%
XIUSA04CX8;28/06/2021;ICE BofA US 3M Trsy Bill TR USD;;0.09%;1.34%;1.17%;0.02%;0.14%;0.12%
XIUSA04EPI;28/06/2021;ICE BofA US High Yield TR USD;;15.62%;7.15%;7.48%;3.90%;8.32%;6.77%
FOUSA07WOV;28/06/2021;MSCI Europe NR EUR;;27.94%;8.10%;9.92%;17.21%;22.29%;19.03%
FOUSA09G33;28/06/2021;MSCI US Small Cap Growth NR USD;;59.16%;18.87%;20.99%;26.69%;33.09%;27.60%
XIUSA04FKR;28/06/2021;MSCI USA Value NR USD;;38.95%;10.97%;11.47%;17.73%;27.18%;22.44%
XIUSA04G92;28/06/2021;S&P 500 TR USD;;40.79%;18.67%;18.33%;18.23%;27.74%;22.95%
FOUSA06GBU;28/06/2021;TOPIX TR JPY;;27.34%;6.41%;12.42%;18.98%;22.08%;20.25%
F0GBR05TBZ;21/06/2021;iMGP European Corporate Bds C EUR;LU0167813129;5.19%;1.42%;1.61%;1.90%;4.34%;3.65%
F000002OH8;21/06/2021;iMGP Euro Fixed Income I EUR;LU0335770102;4.01%;3.76%;2.24%;2.26%;3.32%;3.09%
F00000JPT5;21/06/2021;iMGP Italian Opportunities I EUR;LU0536296873;35.23%;6.16%;9.57%;18.27%;24.79%;22.66%
F00000NCCS;21/06/2021;iMGP US High Yield I USD;LU0688633840;13.44%;5.34%;6.34%;4.32%;8.30%;6.77%
F00000OU30;21/06/2021;iMGP US Value R USD;LU0821216842;29.82%;9.53%;9.14%;15.48%;20.79%;17.34%
F00000Q0N6;21/06/2021;iMGP Sustainable Europe I EUR;LU0933606302;32.57%;7.91%;7.65%;17.33%;20.80%;18.92%
F00000Q0P3;21/06/2021;iMGP Japan Opportunities I JPY;LU0933609314;20.13%;2.92%;7.79%;19.36%;20.78%;19.05%
F00000Q0P4;21/06/2021;iMGP US Small&Mid Company Gr I USD;LU0933609405;50.30%;14.60%;16.42%;28.54%;30.27%;25.25%
F00000Q0NX;21/06/2021;iMGP Mlt-Asst Abs Ret EUR I EUR;LU0933611138;7.64%;3.67%;2.64%;3.14%;4.12%;3.46%
F00000QHZ0;21/06/2021;iMGP US Core Plus I M USD;LU0970691233;3.65%;5.05%;3.23%;2.30%;3.59%;3.30%
F00000UQH8;21/06/2021;iMGP Absolute Return GBP I M GBP;LU1130232017;6.73%;4.30%;3.60%;3.09%;3.27%;2.89%
F00000XJ7Z;21/06/2021;iMGP Eurp Subordinated Bds I EUR;LU1457568043;10.83%;5.13%;;3.56%;7.74%;6.49%
F00000ZSS8;21/06/2021;iMGP Stable Return I USD;LU1726319590;12.76%;1.89%;;8.67%;6.70%;6.41%
F000013DXH;21/06/2021;iMGP Global Diversified Inc I USD;LU1965317180;16.56%;;;8.03%;8.92%;8.93%
F000014359;21/06/2021;iMGP BM Alternativos I EUR;LU2041049300;7.96%;;;4.61%;6.35%;6.36%
XIUSA00108;21/06/2021;Bloomberg Euro Agg Bond TR EUR;;0.51%;2.59%;1.62%;3.19%;3.81%;3.61%
XIUSA000MH;21/06/2021;Bloomberg US Interm Credit TR USD;;2.15%;5.79%;3.74%;2.35%;3.79%;3.36%
EUCA000564;21/06/2021;EAA Fund EUR Cautious Allocation - Global;;6.58%;2.26%;1.94%;2.39%;3.56%;2.98%
EUCA000690;21/06/2021;EAA Fund EUR Corporate Bond;;3.32%;1.97%;1.73%;1.50%;2.81%;2.40%
EUCA000587;21/06/2021;EAA Fund EUR Diversified Bond;;1.42%;1.42%;0.86%;1.44%;2.19%;1.95%
EUCA000922;21/06/2021;EAA Fund EUR Subordinated Bond;;9.10%;4.29%;4.62%;2.35%;5.63%;4.67%
EUCA000511;21/06/2021;EAA Fund Europe Large-Cap Blend Equity;;26.21%;6.91%;7.47%;13.56%;17.34%;15.10%
EUCA000621;21/06/2021;EAA Fund GBP Allocation 0-20% Equity;;4.75%;3.60%;4.10%;2.74%;3.56%;3.18%
EUCA000640;21/06/2021;EAA Fund Italy Equity;;34.92%;6.49%;9.80%;17.02%;21.86%;20.34%
EUCA000915;21/06/2021;EAA Fund Japan Flex-Cap Equity;;24.66%;3.61%;9.88%;15.67%;19.45%;18.18%
EUCA000812;21/06/2021;EAA Fund Multistrategy EUR;;7.29%;1.06%;0.80%;3.08%;4.40%;3.87%
EUCA001010;21/06/2021;EAA Fund Multistrategy USD;;8.28%;4.98%;4.87%;4.17%;5.39%;4.76%
EUCA000528;21/06/2021;EAA Fund US Large-Cap Value Equity;;38.11%;10.12%;11.14%;14.97%;21.70%;17.98%
EUCA000853;21/06/2021;EAA Fund US Mid-Cap Equity;;48.28%;15.27%;15.30%;18.49%;25.06%;20.51%
EUCA000691;21/06/2021;EAA Fund USD Corporate Bond;;2.58%;6.51%;4.41%;4.22%;6.03%;4.99%
EUCA000746;21/06/2021;EAA Fund USD Flexible Allocation;;17.19%;5.85%;5.81%;6.73%;8.51%;7.22%
EUCA000583;21/06/2021;EAA Fund USD High Yield Bond;;11.87%;5.55%;5.82%;3.30%;7.07%;5.76%
FOUSA08SQ4;21/06/2021;FTSE Italia AllShare PR EUR;;27.38%;4.49%;7.87%;21.40%;27.57%;25.57%
FOUSA08IE9;21/06/2021;ICE BofA EUR Overnight OR TR EUR;;-0.54%;-0.45%;-0.41%;0.03%;0.02%;0.02%
FOUSA05UOK;21/06/2021;ICE BofA Euro Corporate TR EUR;;3.41%;2.44%;2.08%;2.03%;3.25%;2.89%
FOUSA08BV1;21/06/2021;ICE BofA Euro Subod Fin TR EUR;;6.07%;4.05%;4.28%;2.25%;4.65%;4.04%
F000016NOS;21/06/2021;ICE BofA SONIA Overnight Bid TR GBP;;0.05%;0.36%;0.30%;0.00%;0.03%;0.02%
XIUSA04CX8;21/06/2021;ICE BofA US 3M Trsy Bill TR USD;;0.09%;1.36%;1.18%;0.02%;0.14%;0.12%
XIUSA04EPI;21/06/2021;ICE BofA US High Yield TR USD;;13.20%;6.79%;7.22%;4.07%;8.33%;6.80%
FOUSA07WOV;21/06/2021;MSCI Europe NR EUR;;25.50%;7.66%;8.47%;17.51%;22.34%;19.53%
FOUSA09G33;21/06/2021;MSCI US Small Cap Growth NR USD;;56.80%;17.40%;19.36%;27.26%;33.15%;27.76%
XIUSA04FKR;21/06/2021;MSCI USA Value NR USD;;36.08%;10.22%;10.73%;18.45%;27.19%;22.57%
XIUSA04G92;21/06/2021;S&P 500 TR USD;;37.60%;17.63%;17.36%;18.95%;27.77%;23.09%
FOUSA06GBU;21/06/2021;TOPIX TR JPY;;25.46%;6.23%;10.46%;19.16%;22.08%;20.60%
F0GBR05TBZ;14/06/2021;iMGP European Corporate Bds C EUR;LU0167813129;5.21%;1.47%;1.75%;1.90%;4.33%;3.65%
F000002OH8;14/06/2021;iMGP Euro Fixed Income I EUR;LU0335770102;4.73%;3.94%;2.29%;2.24%;3.31%;3.09%
F00000JPT5;14/06/2021;iMGP Italian Opportunities I EUR;LU0536296873;36.00%;6.16%;10.88%;18.17%;24.79%;22.76%
F00000NCCS;14/06/2021;iMGP US High Yield I USD;LU0688633840;12.94%;5.35%;6.44%;4.34%;8.29%;6.79%
F00000OU30;14/06/2021;iMGP US Value R USD;LU0821216842;29.16%;9.16%;9.95%;15.30%;20.75%;17.34%
F00000Q0N6;14/06/2021;iMGP Sustainable Europe I EUR;LU0933606302;33.60%;7.55%;9.52%;17.29%;20.79%;19.09%
F00000Q0P3;14/06/2021;iMGP Japan Opportunities I JPY;LU0933609314;19.73%;2.26%;8.79%;18.66%;20.58%;19.10%
F00000Q0P4;14/06/2021;iMGP US Small&Mid Company Gr I USD;LU0933609405;43.69%;12.95%;16.18%;28.50%;30.23%;25.23%
F00000Q0NX;14/06/2021;iMGP Mlt-Asst Abs Ret EUR I EUR;LU0933611138;8.37%;3.73%;2.78%;3.11%;4.11%;3.45%
F00000QHZ0;14/06/2021;iMGP US Core Plus I M USD;LU0970691233;3.67%;5.02%;3.24%;2.32%;3.59%;3.30%
F00000UQH8;14/06/2021;iMGP Absolute Return GBP I M GBP;LU1130232017;7.37%;4.33%;3.66%;3.06%;3.26%;2.89%
F00000XJ7Z;14/06/2021;iMGP Eurp Subordinated Bds I EUR;LU1457568043;10.20%;4.82%;;3.60%;7.74%;6.50%
F00000ZSS8;14/06/2021;iMGP Stable Return I USD;LU1726319590;13.22%;1.71%;;8.58%;6.65%;6.37%
F000013DXH;14/06/2021;iMGP Global Diversified Inc I USD;LU1965317180;18.06%;;;7.90%;8.90%;8.91%
F000014359;14/06/2021;iMGP BM Alternativos I EUR;LU2041049300;7.68%;;;4.62%;6.39%;6.40%
XIUSA00108;14/06/2021;Bloomberg Euro Agg Bond TR EUR;;0.94%;2.67%;1.67%;3.20%;3.81%;3.61%
XIUSA000MH;14/06/2021;Bloomberg US Interm Credit TR USD;;2.12%;5.72%;3.77%;2.34%;3.79%;3.35%
EUCA000564;14/06/2021;EAA Fund EUR Cautious Allocation - Global;;7.10%;2.17%;2.04%;2.41%;3.57%;2.99%
EUCA000690;14/06/2021;EAA Fund EUR Corporate Bond;;3.37%;2.05%;1.78%;1.49%;2.81%;2.40%
EUCA000587;14/06/2021;EAA Fund EUR Diversified Bond;;1.80%;1.48%;0.92%;1.44%;2.19%;1.95%
EUCA000922;14/06/2021;EAA Fund EUR Subordinated Bond;;8.63%;4.08%;4.85%;2.37%;5.63%;4.68%
EUCA000511;14/06/2021;EAA Fund Europe Large-Cap Blend Equity;;28.76%;6.76%;8.67%;13.54%;17.33%;15.18%
EUCA000621;14/06/2021;EAA Fund GBP Allocation 0-20% Equity;;5.65%;3.58%;4.10%;2.79%;3.57%;3.18%
EUCA000640;14/06/2021;EAA Fund Italy Equity;;38.03%;6.84%;11.22%;16.92%;21.87%;20.45%
EUCA000915;14/06/2021;EAA Fund Japan Flex-Cap Equity;;26.31%;3.14%;10.76%;15.16%;19.37%;18.29%
EUCA000812;14/06/2021;EAA Fund Multistrategy EUR;;7.75%;1.02%;1.04%;3.07%;4.40%;3.88%
EUCA001010;14/06/2021;EAA Fund Multistrategy USD;;8.68%;5.00%;5.14%;4.16%;5.38%;4.76%
EUCA000528;14/06/2021;EAA Fund US Large-Cap Value Equity;;38.59%;10.35%;11.90%;14.73%;21.64%;17.94%
EUCA000853;14/06/2021;EAA Fund US Mid-Cap Equity;;47.30%;14.95%;15.81%;18.36%;25.03%;20.49%
EUCA000691;14/06/2021;EAA Fund USD Corporate Bond;;2.37%;6.29%;4.36%;4.16%;6.02%;4.98%
EUCA000746;14/06/2021;EAA Fund USD Flexible Allocation;;18.35%;5.74%;6.22%;6.69%;8.51%;7.22%
EUCA000583;14/06/2021;EAA Fund USD High Yield Bond;;11.74%;5.54%;6.00%;3.32%;7.07%;5.77%
FOUSA08SQ4;14/06/2021;FTSE Italia AllShare PR EUR;;32.11%;4.97%;9.54%;21.37%;27.57%;25.66%
FOUSA08IE9;14/06/2021;ICE BofA EUR Overnight OR TR EUR;;-0.54%;-0.45%;-0.41%;0.03%;0.02%;0.02%
FOUSA05UOK;14/06/2021;ICE BofA Euro Corporate TR EUR;;3.32%;2.56%;2.13%;2.03%;3.25%;2.89%
FOUSA08BV1;14/06/2021;ICE BofA Euro Subod Fin TR EUR;;6.16%;3.94%;4.40%;2.25%;4.65%;4.05%
F000016NOS;14/06/2021;ICE BofA SONIA Overnight Bid TR GBP;;0.05%;0.37%;0.30%;0.00%;0.03%;0.02%
XIUSA04CX8;14/06/2021;ICE BofA US 3M Trsy Bill TR USD;;0.10%;1.37%;1.18%;0.03%;0.14%;0.12%
XIUSA04EPI;14/06/2021;ICE BofA US High Yield TR USD;;12.66%;6.75%;7.38%;4.10%;8.33%;6.82%
FOUSA07WOV;14/06/2021;MSCI Europe NR EUR;;28.91%;7.82%;9.89%;17.49%;22.33%;19.62%
FOUSA09G33;14/06/2021;MSCI US Small Cap Growth NR USD;;56.91%;16.82%;19.75%;27.18%;33.13%;27.74%
XIUSA04FKR;14/06/2021;MSCI USA Value NR USD;;35.34%;10.46%;11.37%;18.21%;27.12%;22.52%
XIUSA04G92;14/06/2021;S&P 500 TR USD;;37.31%;17.11%;17.69%;18.84%;27.74%;23.06%
FOUSA06GBU;14/06/2021;TOPIX TR JPY;;26.68%;5.82%;11.53%;18.49%;21.92%;20.65%
F0GBR05TBZ;07/06/2021;iMGP European Corporate Bds C EUR;LU0167813129;5.12%;1.61%;1.55%;2.16%;4.34%;3.67%
F000002OH8;07/06/2021;iMGP Euro Fixed Income I EUR;LU0335770102;5.36%;4.12%;2.31%;2.29%;3.32%;3.09%
F00000JPT5;07/06/2021;iMGP Italian Opportunities I EUR;LU0536296873;34.38%;7.22%;9.06%;19.16%;24.87%;22.88%
F00000NCCS;07/06/2021;iMGP US High Yield I USD;LU0688633840;12.64%;5.38%;6.24%;4.80%;8.29%;6.80%
F00000OU30;07/06/2021;iMGP US Value R USD;LU0821216842;26.57%;9.02%;9.14%;16.35%;20.74%;17.38%
F00000Q0N6;07/06/2021;iMGP Sustainable Europe I EUR;LU0933606302;31.11%;7.48%;7.48%;17.94%;20.80%;19.21%
F00000Q0P3;07/06/2021;iMGP Japan Opportunities I JPY;LU0933609314;17.51%;2.59%;7.97%;19.63%;20.59%;19.20%
